Название продукта,Мощность,Цена,Ссылка
"Kia Sorento, 2018","2.2 л (200 л.с.),дизель,АКПП,4WD,100 тыс. км",2.657.000₽,https://omsk.drom.ru/kia/sorento/43788723.html
"Kia Rio, 2015","1.6 л (123 л.с.),бензин,механика,передний,45 тыс. км",789.990₽,https://omsk.drom.ru/kia/rio/44713110.html
"Kia Cerato, 2020","1.6 л (128 л.с.),бензин,АКПП,передний,15 тыс. км",1.499.990₽,https://omsk.drom.ru/kia/cerato/44811895.html
"Kia Rio, 2011","1.4 л (97 л.с.),бензин,механика,передний,165 тыс. км",529.990₽,https://omsk.drom.ru/kia/rio/44837876.html
"Kia Ceed, 2016","1.6 л (130 л.с.),бензин,АКПП,передний,103 тыс. км",849.990₽,https://omsk.drom.ru/kia/cee~d/43139745.html
"Kia Soul, 2016","1.6 л (124 л.с.),бензин,АКПП,передний,47 тыс. км",1.149.000₽,https://omsk.drom.ru/kia/soul/44528598.html
"Kia Rio, 2018","1.4 л (100 л.с.),бензин,механика,передний,63 тыс. км",849.000₽,https://omsk.drom.ru/kia/rio/44619916.html
"Kia Cerato, 2016","1.6 л (130 л.с.),бензин,АКПП,передний,61 тыс. км",959.000₽,https://omsk.drom.ru/kia/cerato/44515190.html
"Kia Ceed, 2013","1.6 л (129 л.с.),бензин,АКПП,передний,152 тыс. км",855.000₽,https://simferopol.drom.ru/kia/cee~d/44491163.html
"Kia K5, 2021","2.5 л (194 л.с.),бензин,АКПП,передний,8 тыс. км",2.599.000₽,https://volgograd.drom.ru/kia/k5/44484344.html
"Kia Sportage, 2009","2.0 л (112 л.с.),дизель,механика,4WD,180 тыс. км",670.000₽,https://chelyabinsk.drom.ru/kia/sportage/44512465.html
"Kia Cerato, 2010","1.6 л (126 л.с.),бензин,механика,передний,черный",575.000₽,https://chelyabinsk.drom.ru/kia/cerato/44870165.html
"Kia Rio, 2014","1.4 л (107 л.с.),бензин,механика,передний,180 тыс. км",430.000₽,https://seversk.drom.ru/kia/rio/44576855.html
"Kia Rio, 2010","1.4 л (95 л.с.),бензин,АКПП,передний,212 тыс. км,серебристый",430.000₽,https://kemerovo.drom.ru/kia/rio/44870135.html
"Kia Niro, 2018","204 л.с.,электро,АКПП,передний,35 тыс. км",2.820.000₽,https://nalchik.drom.ru/kia/niro/41256247.html
"Kia Soul, 2017","1.6 л (132 л.с.),бензин,АКПП,передний,28 тыс. км",1.460.000₽,https://noyabrsk.drom.ru/kia/soul/44288387.html
"Kia Rio, 2014","1.4 л (107 л.с.),бензин,механика,передний,73 тыс. км",665.000₽,https://chelyabinsk.drom.ru/kia/rio/44870066.html
"Kia Sportage, 2011","2.0 л (166 л.с.),бензин,АКПП,передний,153 тыс. км",1.010.000₽,https://bratsk.drom.ru/kia/sportage/44186130.html
"Kia Rio, 2020","1.6 л (123 л.с.),бензин,АКПП,передний,65 тыс. км",1.220.000₽,https://volgograd.drom.ru/kia/rio/44870012.html
"Kia Rio, 2021","1.6 л (123 л.с.),бензин,АКПП,передний",1.770.000₽,https://moscow.drom.ru/kia/rio/44484702.html
"Kia Sorento, 2018","2.2 л (200 л.с.),дизель,АКПП,4WD,100 тыс. км",2.657.000₽,https://omsk.drom.ru/kia/sorento/43788723.html
"Kia Rio, 2015","1.6 л (123 л.с.),бензин,механика,передний,45 тыс. км",789.990₽,https://omsk.drom.ru/kia/rio/44713110.html
"Kia Cerato, 2020","1.6 л (128 л.с.),бензин,АКПП,передний,15 тыс. км",1.499.990₽,https://omsk.drom.ru/kia/cerato/44811895.html
"Kia Rio, 2011","1.4 л (97 л.с.),бензин,механика,передний,165 тыс. км",529.990₽,https://omsk.drom.ru/kia/rio/44837876.html
"Kia Ceed, 2016","1.6 л (130 л.с.),бензин,АКПП,передний,103 тыс. км",849.990₽,https://omsk.drom.ru/kia/cee~d/43139745.html
"Kia Soul, 2016","1.6 л (124 л.с.),бензин,АКПП,передний,47 тыс. км",1.149.000₽,https://omsk.drom.ru/kia/soul/44528598.html
"Kia Rio, 2018","1.4 л (100 л.с.),бензин,механика,передний,63 тыс. км",849.000₽,https://omsk.drom.ru/kia/rio/44619916.html
"Kia Cerato, 2016","1.6 л (130 л.с.),бензин,АКПП,передний,61 тыс. км",959.000₽,https://omsk.drom.ru/kia/cerato/44515190.html
"Kia Ceed, 2013","1.6 л (129 л.с.),бензин,АКПП,передний,152 тыс. км",855.000₽,https://simferopol.drom.ru/kia/cee~d/44491163.html
"Kia K5, 2021","2.5 л (194 л.с.),бензин,АКПП,передний,8 тыс. км",2.599.000₽,https://volgograd.drom.ru/kia/k5/44484344.html
"Kia Sportage, 2009","2.0 л (112 л.с.),дизель,механика,4WD,180 тыс. км",670.000₽,https://chelyabinsk.drom.ru/kia/sportage/44512465.html
"Kia Cerato, 2010","1.6 л (126 л.с.),бензин,механика,передний,черный",575.000₽,https://chelyabinsk.drom.ru/kia/cerato/44870165.html
"Kia Rio, 2014","1.4 л (107 л.с.),бензин,механика,передний,180 тыс. км",430.000₽,https://seversk.drom.ru/kia/rio/44576855.html
"Kia Rio, 2010","1.4 л (95 л.с.),бензин,АКПП,передний,212 тыс. км,серебристый",430.000₽,https://kemerovo.drom.ru/kia/rio/44870135.html
"Kia Niro, 2018","204 л.с.,электро,АКПП,передний,35 тыс. км",2.820.000₽,https://nalchik.drom.ru/kia/niro/41256247.html
"Kia Soul, 2017","1.6 л (132 л.с.),бензин,АКПП,передний,28 тыс. км",1.460.000₽,https://noyabrsk.drom.ru/kia/soul/44288387.html
"Kia Rio, 2014","1.4 л (107 л.с.),бензин,механика,передний,73 тыс. км",665.000₽,https://chelyabinsk.drom.ru/kia/rio/44870066.html
"Kia Sportage, 2011","2.0 л (166 л.с.),бензин,АКПП,передний,153 тыс. км",1.010.000₽,https://bratsk.drom.ru/kia/sportage/44186130.html
"Kia Rio, 2020","1.6 л (123 л.с.),бензин,АКПП,передний,65 тыс. км",1.220.000₽,https://volgograd.drom.ru/kia/rio/44870012.html
"Kia Rio, 2021","1.6 л (123 л.с.),бензин,АКПП,передний",1.770.000₽,https://moscow.drom.ru/kia/rio/44484702.html
"Kia Sorento, 2018","2.2 л (200 л.с.),дизель,АКПП,4WD,100 тыс. км",2.657.000₽,https://omsk.drom.ru/kia/sorento/43788723.html
"Kia Rio, 2015","1.6 л (123 л.с.),бензин,механика,передний,45 тыс. км",789.990₽,https://omsk.drom.ru/kia/rio/44713110.html
"Kia Cerato, 2020","1.6 л (128 л.с.),бензин,АКПП,передний,15 тыс. км",1.499.990₽,https://omsk.drom.ru/kia/cerato/44811895.html
"Kia Rio, 2011","1.4 л (97 л.с.),бензин,механика,передний,165 тыс. км",529.990₽,https://omsk.drom.ru/kia/rio/44837876.html
"Kia Ceed, 2016","1.6 л (130 л.с.),бензин,АКПП,передний,103 тыс. км",849.990₽,https://omsk.drom.ru/kia/cee~d/43139745.html
"Kia Soul, 2016","1.6 л (124 л.с.),бензин,АКПП,передний,47 тыс. км",1.149.000₽,https://omsk.drom.ru/kia/soul/44528598.html
"Kia Rio, 2018","1.4 л (100 л.с.),бензин,механика,передний,63 тыс. км",849.000₽,https://omsk.drom.ru/kia/rio/44619916.html
"Kia Cerato, 2016","1.6 л (130 л.с.),бензин,АКПП,передний,61 тыс. км",959.000₽,https://omsk.drom.ru/kia/cerato/44515190.html
"Kia Ceed, 2013","1.6 л (129 л.с.),бензин,АКПП,передний,152 тыс. км",855.000₽,https://simferopol.drom.ru/kia/cee~d/44491163.html
"Kia K5, 2021","2.5 л (194 л.с.),бензин,АКПП,передний,8 тыс. км",2.599.000₽,https://volgograd.drom.ru/kia/k5/44484344.html
"Kia Sportage, 2009","2.0 л (112 л.с.),дизель,механика,4WD,180 тыс. км",670.000₽,https://chelyabinsk.drom.ru/kia/sportage/44512465.html
"Kia Cerato, 2010","1.6 л (126 л.с.),бензин,механика,передний,черный",575.000₽,https://chelyabinsk.drom.ru/kia/cerato/44870165.html
"Kia Rio, 2014","1.4 л (107 л.с.),бензин,механика,передний,180 тыс. км",430.000₽,https://seversk.drom.ru/kia/rio/44576855.html
"Kia Rio, 2010","1.4 л (95 л.с.),бензин,АКПП,передний,212 тыс. км,серебристый",430.000₽,https://kemerovo.drom.ru/kia/rio/44870135.html
"Kia Niro, 2018","204 л.с.,электро,АКПП,передний,35 тыс. км",2.820.000₽,https://nalchik.drom.ru/kia/niro/41256247.html
"Kia Soul, 2017","1.6 л (132 л.с.),бензин,АКПП,передний,28 тыс. км",1.460.000₽,https://noyabrsk.drom.ru/kia/soul/44288387.html
"Kia Rio, 2014","1.4 л (107 л.с.),бензин,механика,передний,73 тыс. км",665.000₽,https://chelyabinsk.drom.ru/kia/rio/44870066.html
"Kia Sportage, 2011","2.0 л (166 л.с.),бензин,АКПП,передний,153 тыс. км",1.010.000₽,https://bratsk.drom.ru/kia/sportage/44186130.html
"Kia Rio, 2020","1.6 л (123 л.с.),бензин,АКПП,передний,65 тыс. км",1.220.000₽,https://volgograd.drom.ru/kia/rio/44870012.html
"Kia Rio, 2021","1.6 л (123 л.с.),бензин,АКПП,передний",1.770.000₽,https://moscow.drom.ru/kia/rio/44484702.html
"Kia Sorento, 2018","2.2 л (200 л.с.),дизель,АКПП,4WD,100 тыс. км",2.657.000₽,https://omsk.drom.ru/kia/sorento/43788723.html
"Kia Rio, 2015","1.6 л (123 л.с.),бензин,механика,передний,45 тыс. км",789.990₽,https://omsk.drom.ru/kia/rio/44713110.html
"Kia Cerato, 2020","1.6 л (128 л.с.),бензин,АКПП,передний,15 тыс. км",1.499.990₽,https://omsk.drom.ru/kia/cerato/44811895.html
"Kia Rio, 2011","1.4 л (97 л.с.),бензин,механика,передний,165 тыс. км",529.990₽,https://omsk.drom.ru/kia/rio/44837876.html
"Kia Ceed, 2016","1.6 л (130 л.с.),бензин,АКПП,передний,103 тыс. км",849.990₽,https://omsk.drom.ru/kia/cee~d/43139745.html
"Kia Soul, 2016","1.6 л (124 л.с.),бензин,АКПП,передний,47 тыс. км",1.149.000₽,https://omsk.drom.ru/kia/soul/44528598.html
"Kia Rio, 2018","1.4 л (100 л.с.),бензин,механика,передний,63 тыс. км",849.000₽,https://omsk.drom.ru/kia/rio/44619916.html
"Kia Cerato, 2016","1.6 л (130 л.с.),бензин,АКПП,передний,61 тыс. км",959.000₽,https://omsk.drom.ru/kia/cerato/44515190.html
"Kia Ceed, 2013","1.6 л (129 л.с.),бензин,АКПП,передний,152 тыс. км",855.000₽,https://simferopol.drom.ru/kia/cee~d/44491163.html
"Kia K5, 2021","2.5 л (194 л.с.),бензин,АКПП,передний,8 тыс. км",2.599.000₽,https://volgograd.drom.ru/kia/k5/44484344.html
"Kia Sportage, 2009","2.0 л (112 л.с.),дизель,механика,4WD,180 тыс. км",670.000₽,https://chelyabinsk.drom.ru/kia/sportage/44512465.html
"Kia Cerato, 2010","1.6 л (126 л.с.),бензин,механика,передний,черный",575.000₽,https://chelyabinsk.drom.ru/kia/cerato/44870165.html
"Kia Rio, 2014","1.4 л (107 л.с.),бензин,механика,передний,180 тыс. км",430.000₽,https://seversk.drom.ru/kia/rio/44576855.html
"Kia Rio, 2010","1.4 л (95 л.с.),бензин,АКПП,передний,212 тыс. км,серебристый",430.000₽,https://kemerovo.drom.ru/kia/rio/44870135.html
"Kia Niro, 2018","204 л.с.,электро,АКПП,передний,35 тыс. км",2.820.000₽,https://nalchik.drom.ru/kia/niro/41256247.html
"Kia Soul, 2017","1.6 л (132 л.с.),бензин,АКПП,передний,28 тыс. км",1.460.000₽,https://noyabrsk.drom.ru/kia/soul/44288387.html
"Kia Rio, 2014","1.4 л (107 л.с.),бензин,механика,передний,73 тыс. км",665.000₽,https://chelyabinsk.drom.ru/kia/rio/44870066.html
"Kia Sportage, 2011","2.0 л (166 л.с.),бензин,АКПП,передний,153 тыс. км",1.010.000₽,https://bratsk.drom.ru/kia/sportage/44186130.html
"Kia Rio, 2020","1.6 л (123 л.с.),бензин,АКПП,передний,65 тыс. км",1.220.000₽,https://volgograd.drom.ru/kia/rio/44870012.html
"Kia Rio, 2021","1.6 л (123 л.с.),бензин,АКПП,передний",1.770.000₽,https://moscow.drom.ru/kia/rio/44484702.html
"Kia Sorento, 2018","2.2 л (200 л.с.),дизель,АКПП,4WD,100 тыс. км",2.657.000₽,https://omsk.drom.ru/kia/sorento/43788723.html
"Kia Rio, 2015","1.6 л (123 л.с.),бензин,механика,передний,45 тыс. км",789.990₽,https://omsk.drom.ru/kia/rio/44713110.html
"Kia Cerato, 2020","1.6 л (128 л.с.),бензин,АКПП,передний,15 тыс. км",1.499.990₽,https://omsk.drom.ru/kia/cerato/44811895.html
"Kia Rio, 2011","1.4 л (97 л.с.),бензин,механика,передний,165 тыс. км",529.990₽,https://omsk.drom.ru/kia/rio/44837876.html
"Kia Ceed, 2016","1.6 л (130 л.с.),бензин,АКПП,передний,103 тыс. км",849.990₽,https://omsk.drom.ru/kia/cee~d/43139745.html
"Kia Soul, 2016","1.6 л (124 л.с.),бензин,АКПП,передний,47 тыс. км",1.149.000₽,https://omsk.drom.ru/kia/soul/44528598.html
"Kia Rio, 2018","1.4 л (100 л.с.),бензин,механика,передний,63 тыс. км",849.000₽,https://omsk.drom.ru/kia/rio/44619916.html
"Kia Cerato, 2016","1.6 л (130 л.с.),бензин,АКПП,передний,61 тыс. км",959.000₽,https://omsk.drom.ru/kia/cerato/44515190.html
"Kia Ceed, 2013","1.6 л (129 л.с.),бензин,АКПП,передний,152 тыс. км",855.000₽,https://simferopol.drom.ru/kia/cee~d/44491163.html
"Kia K5, 2021","2.5 л (194 л.с.),бензин,АКПП,передний,8 тыс. км",2.599.000₽,https://volgograd.drom.ru/kia/k5/44484344.html
"Kia Sportage, 2009","2.0 л (112 л.с.),дизель,механика,4WD,180 тыс. км",670.000₽,https://chelyabinsk.drom.ru/kia/sportage/44512465.html
"Kia Cerato, 2010","1.6 л (126 л.с.),бензин,механика,передний,черный",575.000₽,https://chelyabinsk.drom.ru/kia/cerato/44870165.html
"Kia Rio, 2014","1.4 л (107 л.с.),бензин,механика,передний,180 тыс. км",430.000₽,https://seversk.drom.ru/kia/rio/44576855.html
"Kia Rio, 2010","1.4 л (95 л.с.),бензин,АКПП,передний,212 тыс. км,серебристый",430.000₽,https://kemerovo.drom.ru/kia/rio/44870135.html
"Kia Niro, 2018","204 л.с.,электро,АКПП,передний,35 тыс. км",2.820.000₽,https://nalchik.drom.ru/kia/niro/41256247.html
"Kia Soul, 2017","1.6 л (132 л.с.),бензин,АКПП,передний,28 тыс. км",1.460.000₽,https://noyabrsk.drom.ru/kia/soul/44288387.html
"Kia Rio, 2014","1.4 л (107 л.с.),бензин,механика,передний,73 тыс. км",665.000₽,https://chelyabinsk.drom.ru/kia/rio/44870066.html
"Kia Sportage, 2011","2.0 л (166 л.с.),бензин,АКПП,передний,153 тыс. км",1.010.000₽,https://bratsk.drom.ru/kia/sportage/44186130.html
"Kia Rio, 2020","1.6 л (123 л.с.),бензин,АКПП,передний,65 тыс. км",1.220.000₽,https://volgograd.drom.ru/kia/rio/44870012.html
"Kia Rio, 2021","1.6 л (123 л.с.),бензин,АКПП,передний",1.770.000₽,https://moscow.drom.ru/kia/rio/44484702.html
